Site,Morphospecies,Stage,Wings,Obs_ID,Notes
S2_F6_P14,Whitefly,Adult,Yes,656,
S2_F6_P14,Whitefly,Adult,Yes,657,
S2_F6_P14,Whitefly,Adult,Yes,658,
S2_F6_P14,Whitefly,Adult,Yes,659,
S2_F6_P14,Whitefly,Adult,Yes,660,
S2_F6_P14,Whitefly,Adult,Yes,661,
S2_F6_P14,Whitefly,Adult,Yes,662,
S2_F6_P14,Whitefly,Adult,Yes,663,
S2_F6_P14,Whitefly,Adult,Yes,664,
S2_F6_P14,Whitefly,Adult,Yes,665,
S2_F6_P14,Whitefly,Adult,Yes,666,
S2_F6_P14,Whitefly,Adult,Yes,667,
S2_F6_P14,Whitefly,Adult,Yes,668,
S2_F6_P14,Whitefly,Adult,Yes,669,
S2_F6_P11,Fly_Orange,Adult,Yes,670,
S2_F6_P11,Minute_Brown_Scavenger_Beetle_sp._3,Adult,Yes,671,
S2_F6_P11,Whitefly,Adult,Yes,672,
S2_F6_P11,Whitefly,Adult,Yes,673,
S2_F6_P11,Whitefly,Adult,Yes,674,
S2_F6_P11,Whitefly,Adult,Yes,675,
S2_F6_P11,Whitefly,Adult,Yes,676,
S2_F6_P11,Whitefly,Adult,Yes,677,
S2_F6_P11,Whitefly,Adult,Yes,678,
S2_F6_P11,Whitefly,Adult,Yes,679,
S2_F6_P11,Whitefly,Adult,Yes,680,
S2_F6_P11,Whitefly,Adult,Yes,681,
S2_F6_P8,Spider_Unknown,Adult,No,682,
S2_F6_P8,Minute_Brown_Scavenger_Beetle_sp._3,Adult,Yes,683,
S2_F6_P8,Minute_Brown_Scavenger_Beetle_sp._3,Adult,Yes,684,
S2_F6_P8,Minute_Brown_Scavenger_Beetle_sp._3,Adult,Yes,685,
S2_F6_P8,Mite_sp._1,Adult,No,686,
S2_F6_P8,Whitefly,Adult,Yes,687,
S2_F6_P8,Whitefly,Adult,Yes,688,
S2_F6_P8,Whitefly,Adult,Yes,689,
S2_F6_P8,Whitefly,Adult,Yes,690,
S2_F6_P8,Whitefly,Adult,Yes,691,
S2_F6_P8,Whitefly,Adult,Yes,692,
S2_F6_P8,Whitefly,Adult,Yes,693,
S2_F6_P8,Whitefly,Adult,Yes,694,
S2_F6_P8,Whitefly,Adult,Yes,695,
S2_F6_P8,Whitefly,Adult,Yes,696,
S2_F6_P8,Whitefly,Adult,Yes,697,
S2_F6_P8,Whitefly,Adult,Yes,698,
S2_F6_P8,Whitefly,Adult,Yes,699,
S2_F6_P8,Whitefly,Adult,Yes,700,
S2_F6_P8,Whitefly,Adult,Yes,701,
S2_F6_P8,Whitefly,Adult,Yes,702,
S2_F6_P8,Whitefly,Adult,Yes,703,
S2_F6_P8,Whitefly,Adult,Yes,704,
S2_F6_P8,Whitefly,Adult,Yes,705,
S2_F6_P8,Whitefly,Adult,Yes,706,
S2_F6_P8,Whitefly,Adult,Yes,707,
S2_F6_P5,Fly_Orange,Adult,Yes,708,
S2_F6_P5,Aphid_Orange,Adult,,709,
S2_F6_P5,Angulate_and_Roundshouldered_Orbweavers_Sp._2,Adult,No,710,
S2_F6_P5,Ninja-star_Ceiling_Spider,Adult,No,711,
S2_F6_P5,Whitefly,Adult,Yes,712,
S2_F6_P5,Whitefly,Adult,Yes,713,
S2_F6_P5,Whitefly,Adult,Yes,714,
